code	UZ	RU	ENG
death0004.00001	Jarohat sanasi	Дата травмы	Injury date
death0004.00002	Jarohat turi	Тип травмы	Injury type
death0004.00003	Joy sharoitlari	Место и обстоятельства	Place circumstances
