Code	Name UZ	Name RU	Номер формы 	
docum-0002-00093	169-Tashqi muhit obyektlaridan (odamlardan) olingan namunalarni kuydirgi kasalligiga bakteriologik va serologik tekshirish jurnali	169-Журнал бактериологического и серологического исследования проб с объектов внешней среды (от людей) на сибирскую язву	169*	
docum-0002-00094	170-Bioprobalarni qayd etish jurnali	170-Журнал регистрации биопроб	170*	
docum-0002-00095	173-Quturish kasalligi bilan oʻlganlardan olingan patmaterialni tekshirish jurnali	173-Журнал исследования патматериала от умерших от бешенства	173*	
docum-0002-00096	176-Oziq-ovqat mahsulotlarida antibiotiklarning qoldiq miqdorini aniqlash boʻyicha oʻtkazilgan laboratoriya tekshiruvlarini roʻyxatga olish jurnali	176-Журнал регистрации лабораторных исследований по определению остаточных количеств антибиотиков в пищевых продуктах	176-Oziq*	
docum-0002-00097	181-OIV infeksiyasi tasdiqlangan bemorlarni dispanser nazoratiga olish JURNALI	181-Журнал диспансерного учета больных с подтвержденной ВИЧ-инфекцией	181*	
docum-0002-00098	182-Anonim xonaga murojaat etgan shaxslardan qon olishni qayd qilish JURNALI	182-Журнал регистрации забора крови у лиц, обратившихся в анонимный кабинет	182*	
docum-0002-00099	183-OIV infeksiyali bemorlarga ARV preparatlarini tarqatish va hisobga olish JURNALI	183-Журнал выдачи и учета АРВ-препаратов ВИЧ-инфицированным больным	183*	
docum-0002-00100	184-OIV infeksiyasiga polimeraza zanjirli reaksiya (PZR-DNK,VYU) usulida tekshirilganlar JURNALI	184-Журнал обследования на ВИЧ-инфекцию методом полимеразной цепной реакции (ПЦР-ДНК, Вирусная нагрузка)	184-OIV infeksiyasiga polimeraza zanjirli reaksiya (PZR*	
docum-0002-00101	185-OIV infeksiyali bemorlarni immunologik (SD4 hujayralar)ga tekshiruvlarni qayd etish JURNALI	185-Журнал регистрации иммунологических (CD4-клетки) обследований ВИЧ-инфицированных больных	185*	
docum-0002-00102	187-Ajratilgan kulturalar va ularni yoʻq qilinishini qayd qilish jurnali	187-Журнал регистрации выделенных культур и их уничтожения	187*	
docum-0002-00103	188-Patogen biologik agentlar (PBA)ning harakatini qayd qilish jurnali	188-Журнал движения патогенных биологических агентов (ПБА)	188*	
docum-0002-00104	189-Muzeydagi kulturalarning inventar kitobi (kartotekasi)	189-Инвентарная книга (картотека) музейных культур	189*	
docum-0002-00105	190-Yuqumli materiallarni avtoklavda zararsizlantirishni hisobga olish jurnali	190-Журнал учета автоклавирования (стерилизации) инфекционных материалов	190*	
docum-0002-00106	191-Vabo qoʻzgʻatuvchisiga odamlardan olingan tahlillarni qayd qilish jurnali	191-Журнал регистрации анализов от людей на возбудителя холеры	191*	
docum-0002-00107	192-Vabo qoʻzgʻatuvchisiga atrof-muhit obyektlaridan olingan materiallarni qayd qilish jurnali	192-Журнал регистрации материалов с объектов окружающей среды на возбудителя холеры	192-Vabo qoʻzgʻatuvchisiga atrof*	
docum-0002-00108	193-Ajratilgan O1 seroguruhga mansub vabo vibrioni kulturalarining tavsifnomasi jurnali	193-Журнал характеристик выделенных культур холерного вибриона серогруппы О1	193*	
docum-0002-00109	198-Shtammlarni berishni hisobga olish (jurnali)	198-Учет выдачи штаммов	198*	
docum-0002-00110	199-Chet eldan shtammlarni qabul qilish jurnali	199-Журнал приема штаммов из-за рубежа	199*	
docum-0002-00111	200-Liofilizatsiya uchun keltirilgan shtammlar harakati jurnali	200-Журнал движения штаммов, поступивших на лиофилизацию	200*	
docum-0002-00112	203-Ajratilgan kuydirgi qoʻzgʻatuvchisi shtammlarini qayd qilish va identifikatsiya natijalari jurnali	203-Журнал регистрации и результатов идентификации выделенных штаммов возбудителя сибирской язвы	203*	
docum-0002-00113	204-Hayvonlarni yorish va tekshiruv natijalarini qayd qilish jurnali	204-Журнал регистрации вскрытия животных и результатов исследования	204*	
docum-0002-00114	211-Bezgakka chalingan hududlardan kelganlarni roʻyxatdan oʻtkazish (jurnali)	211-Регистрация прибывших из малярийных очагов	211*	
docum-0002-00115	212-Bezgak va qaytalama tifga qon preparatlarini tekshiruvlarini roʻyxatga olish jurnali	212-Журнал регистрации исследований препаратов крови на малярию и возвратный тиф	212*	
docum-0002-00116	213-Gelmintologik tekshirishlarni roʻyxatga olish jurnali	213-Журнал регистрации гельминтологических исследований	213*	
docum-0002-00117	214-Dezinfeksiya vositalarining natijalarini qayd etish jurnali	214-Журнал регистрации результатов исследования дезинфицирующих средств	214*	
docum-0002-00118	218-Jarima solish jurnali	218-Журнал наложения штрафов	218*	
docum-0002-00119	222-Ichimlik suvini tekshirish va natijalarini qayd etish jurnali	222-Журнал исследования питьевой воды и регистрации результатов	222*	
docum-0002-00120	227-Muhitlarni tayyorlashni qayd qilish jurnali	227-Журнал приготовления питательных сред	227*	
docum-0002-00121	228-Ozuqa muhitlarni zararsizlantirish jurnali	228-Журнал стерилизации питательных сред	228*	
docum-0002-00122	229-Mikrobiologik tekshirishlarni qayd qilish jurnali (analizlarning nomini yozish lozim)	229-Журнал регистрации микробиологических исследований (указать наименования анализов)	229*	
docum-0002-00123	230-Leyshmanioz kasalligiga tekshirishlarni roʻyxatga olish jurnali	230-Журнал регистрации исследований на лейшманиоз	230*	
docum-0002-00124	Qon tahlili natijalarini qayd qilish jurnali (laboratoriya nusxasi)	Журнал регистрации результатов анализа крови (лабораторный экземпляр)	Qon*	
docum-0003-00001	3-ilova Blanklar roʻyxati	Приложение 3 Список бланков	3*	
docum-0003-00002	005-Narkoz varaqasi	005-Наркозный лист	005*	
docum-0003-00003	007-Bemorning kelib ketishi va shifoxonaning oʻrin fondini foydalanish (varaqasi/jurnali)	007-Ведомость учета движения больных и использования коечного фонда стационара	007*	
docum-0003-00004	011-Bola (homila) rivojlanishining tugʻma nuqsoni va xromosom buzilishlar bilan tugʻilganlik toʻgʻrisida bildirishnoma	011-Извещение о рождении ребенка (плода) с врожденными пороками развития и хромосомными нарушениями	011*	
docum-0003-00005	013-Patologo-anatomik tadqiqot bayoni №	013-Протокол патолого-анатомического исследования №	013-Patologo*	
docum-0003-00006	014-Patologo-gistologik tadqiqot uchun yoʻllanma	014-Направление на патолого-гистологическое исследование	014-Patologo*	
docum-0003-00007	016-Shifoxona boʻlimi, kunduzgi shifoxona yoki ixtisosligiga koʻra oʻrinlar fondi vedemosti	016-Ведомость коечного фонда отделения больницы, дневного стационара или по специализации	016*	
docum-0003-00008	018-UZD protokollari	018-Протоколы УЗИ	018*	
docum-0003-00009	018-UZD protokollari (takroriy)	018-Протоколы УЗИ (дубликат)	018*	
docum-0003-00010	025-2 Yakuniy (aniq) tashxislarni qaydlash uchun Statistik talon	025-2 Статистический талон для регистрации заключительных (уточненных) диагнозов	025*	
docum-0003-00011	027-Tibbiy muassasadagi bemorning tibbiy bayonnomasidan koʻchirma	027-Выписка из медицинской карты больного в медицинском учреждении	027*	
docum-0003-00012	030-2 Psixonevrologik muassasaning dispanser roʻyxatidan oʻchirilgan bemor uchun statistik talon	030-2 Статистический талон на больного, снятого с диспансерного учета психоневрологического учреждения	030*	
docum-0003-00013	037-1 Ona va bola skrining markazida perinatal tekshiruvdan oʻtishga yoʻllanma	037-1 Направление на перинатальное обследование в центре скрининга матери и ребенка	037*	
docum-0003-00014	037-Yoʻllanma almashish varaqasi	037-Обменная карта (направление)	037*	
docum-0003-00015	039-Ambulator poliklinika muassasalariga, uylarga vrach qatnovlarining qaydlov bildirishnomasi	039-Учетная ведомость посещений врача в амбулаторно-поликлинических учреждениях и на дому	039*	
docum-0003-00016	40-Siydik tahlili blankasi	40-Бланк анализа мочи	40*	
docum-0003-00017	40-Siydik tahlili blankasi (takroriy)	40-Бланк анализа мочи (дубликат)	40*	
docum-0003-00018	41-Balgʻam tahlili blankasi	41-Бланк анализа мокроты	41*	
docum-0003-00019	41-Balgʻam tahlili blankasi (takroriy)	41-Бланк анализа мокроты (дубликат)	41*	
docum-0003-00020	042-Spermogramma blankasi	042-Бланк спермограммы	042*	
docum-0003-00021	043-Tibbiy ma'lumotnoma (chet el fuqarolari uchun) (takroriy)	043-Медицинская справка (для иностранных граждан) (дубликат)	043*	
docum-0003-00022	044-Chet elga ketayotganlar uchun tibbiy ma'lumotnoma	044-Медицинская справка для выезжающих за границу	044*	
docum-0003-00023	046-Prostata bezi shirasining tahlili blankasi	046-Бланк анализа секрета предстательной железы	046*	
docum-0003-00024	047-TORCH infeksiyasi tahlili blankasi	047-Бланк анализа на TORCH-инфекции	047*	
docum-0003-00025	048-Najas tahlili blankasi (takroriy)	048-Бланк анализа кала (дубликат)	048*	
docum-0003-00026	049-Duodenal shirasi tahlili blankasi	049-Бланк анализа дуоденального содержимого	049*	
docum-0003-00027	050-Orqa miya suyuqligi tahlili blankasi	050-Бланк анализа спинномозговой жидкости (ликвора)	050*	
docum-0003-00028	052-Qonning umumiy tahlili blankasi (takroriy)	052-Бланк общего анализа крови (ОАК) (дубликат)	052*	
docum-0003-00029	054-Suyak ilik puntati tahlili blankasi	054-Бланк анализа костномозгового пунктата	054*	
docum-0003-00030	055-Qonning biokimyoviy tahlili blankasi	055-Бланк биохимического анализа крови	055*	
docum-0003-00031	055-Qonning biokimyoviy tahlili blankasi (takroriy)	055-Бланк биохимического анализа крови (дубликат)	055*	
docum-0003-00032	056-Qondagi gormonlarni tekshirish blankasi	056-Бланк анализа крови на гормоны	056*	
docum-0003-00033	057-Koagulogramma blankasi	057-Бланк коагулограммы	057*	
docum-0003-00034	058-Yuqumli kasallik, oziq-ovqatdan oʻtkir, kasbiga koʻra ish joyida zaharlanish, emlanganda oʻzgacha reaksiyalar haqida tezkor xabar	058-Экстренное извещение об инфекционном заболевании, остром пищевом, профессиональном отравлении, необычной реакции на прививку	058-Yuqumli kasallik, oziq*	
docum-0003-00035	058-Yuqumli kasallik, oziq-ovqatdan oʻtkir, kasbiga koʻra ish joyida zaharlanish, emlanganda oʻzgacha reaksiyalar haqida tezkor xabar (takroriy)	058-Экстренное извещение об инфекционном заболевании, остром пищевом, профессиональном отравлении, необычной реакции на прививку (дубликат)	058-Yuqumli kasallik, oziq*	
docum-0003-00036	059-2 Shoshilinch (tez) tibbiy yordam koʻrsatish postidan foydalanilgan budjet dori vositasi hisoboti	059-2 Учет бюджетных лекарственных средств, использованных на посту скорой (неотложной) медицинской помощи	059*	
docum-0003-00037	059-2-APM va shoshilinch (tez) tibbiy yordam koʻrsatish postidan foydalangan budjet dori vositasi hisoboti	059-2-Учет бюджетных лекарственных средств, использованных в АПУ и на посту скорой (неотложной) медицинской помощи	059-2*	
docum-0003-00038	059-3 Tez tibbiy yordam muassasalarida (dori vositalari/sarflash materiallari hisoboti)	059-3 Учет [лекарственных средств/расходных материалов] в учреждениях скорой медицинской помощи	059*	
docum-0003-00039	065-Kuzatuv varaqasi	065-Лист наблюдения	065*	
docum-0003-00040	069-Tez tibbiy yordam stansiyasi xabar varaqasi	069-Извещение станции скорой медицинской помощи	069*	
docum-0003-00041	072-Sanitar aviatsiyasi maslahatchi shifokor varaqasi	072-Карта врача-консультанта санитарной авиации	072*	
docum-0003-00042	073-Sud-tibbiy tekshiruv (hujjati)	073-Судебно-медицинское исследование (акт/заключение)	073-Sud*	
docum-0003-00043	074-Ekspert xulosasi №	074-Экспертное заключение №	074*	
docum-0003-00044	075-Sud-tibbiy laboratoriya va mutaxassis maslahatiga yoʻllanma dalolatnomasi	075-Акт-направление на судебно-медицинское лабораторное исследование и консультацию специалиста	075-Sud*	
docum-0003-00045	076-Sud-gistologik tekshiruvga yoʻllanma	076-Направление на судебно-гистологическое исследование	076-Sud*	
docum-0003-00046	083-Mikrodonor olingan qon (hisobga olish varaqasi)	083-Учет забора крови у микродоноров	083*	
docum-0003-00047	084-Kiyim, ashyoviy dalillar, qimmatbaho buyumlar (hisobga olish varaqasi)	084-Учет одежды, вещественных доказательств, ценностей	084*	
docum-0003-00048	086-1 Tibbiy ma'lumotnoma (shifokor mutaxassisning tibbiy xulosasi) sudyalik lavozimiga tayinlanadigan nomzodlar uchun toʻldiriladi (takroriy)	086-1 Медицинская справка (медицинское заключение врача-специалиста) для кандидатов, назначаемых на должность судьи (дубликат)	086*	
docum-0003-00049	086-Tibbiy ma'lumotnoma (maslahatchi shifokor mutaxassisning tibbiy xulosasi) Oliy oʻquv yurtlari, litsey, kollejlarga kiruvchilar uchun	086-Медицинская справка (медицинское заключение врача-консультанта) для поступающих в высшие учебные заведения, лицеи, колледжи	086*	
docum-0003-00050	93-Mikrobiologik tekshiruv natijasi blankasi	93-Бланк результата микробиологического исследования	93*	
docum-0003-00051	094-Kimyo-terapevtik preparatlarga ajratilgan (chiqim qaydnomasi)	094-Учет (отпуск) химиотерапевтических препаратов	094-Kimyo*	
docum-0003-00052	095-Antistreptolizin-O, S-reaktiv oqsili va revmatoid omiliga qonni tekshirish tahlili blankasi	095-Бланк анализа крови на антистрептолизин-О, С-реактивный белок и ревматоидный фактор	095-Antistreptolizin-O, S*	
docum-0003-00053	095-Talaba/maktab oʻquvchisi mehnatga layoqatsizlik ma'lumotnomasi	095-Справка о нетрудоспособности студента/учащегося школы	095*	
docum-0003-00054	098-Gepatit “B” antigeni – HBsAg, gepatit “C” – anti-HCV tahlili blankasi (takroriy)	098-Бланк анализа на антиген гепатита В (HBsAg), гепатит С (анти-HCV) (дубликат)	098-Gepatit “B” antigeni – HBsAg, gepatit “C” – anti*	
docum-0003-00055	099-Shifokor-laborantning har kunlik ishini hisob etish varagʻi	099-Лист учета ежедневной работы врача-лаборанта	099-Shifokor*	
docum-0003-00056	100-Rezus-faktor va qon gruppasi tahlili blankasi №	100-Бланк анализа на резус-фактор и группу крови №	100-Rezus*	
docum-0003-00057	101-Klinik-diagnostik laboratoriya mielogramma blankasi	101-Бланк миелограммы клинико-диагностической лаборатории	101-Klinik*	
docum-0003-00058	103-Homila xromosom sindromiga prenatal invaziv rozilik bildirishnomasi	103-Информированное согласие на пренатальную инвазивную процедуру при хромосомном синдроме плода	103*	
docum-0003-00059	104-Invaziv muolaja bayonnomasi	104-Протокол инвазивной процедуры	104*	
docum-0003-00060	105-Homila xromosom sindromiga perinatal invaziv muolaja bayonnomasi	105-Протокол перинатальной инвазивной процедуры при хромосомном синдроме плода	105*	
docum-0003-00061	106 Oʻlim guvohnomasi	106 Свидетельство о смерти	106*	
docum-0003-00062	106 Oʻlim guvohnomasi (takroriy)	106 Свидетельство о смерти (дубликат)	106*	
docum-0003-00063	107-Homila xromosom sindromiga perinatal invaziv muolaja rad etish varaqasi	107-Отказ от перинатальной инвазивной процедуры при хромосомном синдроме плода	107*	
docum-0003-00064	108-Trimester biokimyoviy prenatal (skriningi)	108-Бланк биохимического пренатального скрининга (по триместрам)	108*	
docum-0003-00065	109-I/II trimestr prenatal biokimyoviy tekshiruv xulosasi	109-Заключение пренатального биохимического исследования I/II триместра	109*	
docum-0003-00066	114-Tibbiy genetik xulosasi	114-Медико-генетическое заключение	114*	
docum-0003-00067	116-Neonatal skrining tahlili blankasi	116-Бланк неонатального скрининга	116*	
docum-0003-00068	117-Tandem mass-spektrometriya tahlili blankasi	117-Бланк тандемной масс-спектрометрии	117-Tandem mass*	
docum-0003-00069	118-Kariotip tahlili blankasi	118-Бланк анализа кариотипа	118*	
docum-0003-00070	119-Ter sinamasi tahlili blankasi	119-Бланк потовой пробы	119*	
docum-0003-00071	139-Qon tarkibiy qismlari va preparatlarini olish uchun (talabnoma)	139-Требование на получение компонентов и препаратов крови	139*	
docum-0003-00072	148-Loyiha boʻyicha xulosa	148-Заключение по проекту	148*	
docum-0003-00073	152-Bolalarni dam olishdirish va sogʻlomlashtirish joylariga olib chiqish uchun beriladigan sanitariya ruxsatnomasi	152-Санитарное разрешение на вывоз детей в места отдыха и оздоровления	152*	
docum-0003-00074	153-Suv namunasini olish dalolatnomasi (akt)	153-Акт отбора проб воды	153*	
docum-0003-00075	154-Oziq-ovqat mahsulotlaridan namunalar olish boʻyicha ___ -sonli dalolatnoma	154-Акт № ___ отбора проб пищевых продуктов	154-Oziq-ovqat mahsulotlaridan namunalar olish boʻyicha ___ *	
