Code	UZB	RU	EN
emdoc-0005-0001	ona	мать	mother
emdoc-0005-0002	ota	отец	father
emdoc-0005-0003	vasiy	опекун	guardian
emdoc-0005-0004	aka/uka	брат	brother
emdoc-0005-0005	opa/singil	сестра	sister
emdoc-0005-0006	boshqa qarindosh	другой родственник	other relative
