Code	UZB	RU	EN
emdoc-0004-0001	ish joyida	на рабочем месте	at the workplace
emdoc-0004-0002	kundalik hayotda	в повседневной жизни	in everyday life
emdoc-0004-0003	ishga borayotgan yo‘lda	по дороге на работу	on the way to work
