CODE	UZB	RUS	ENG
emdoc-0007-0001	vaqtinchalik mehnatga layoqatsizlik davrida o‘zboshimchalik bilan ishga chiqish	самовольный выход на работу в период временной нетрудоспособности	unauthorized return to work during temporary incapacity for work
emdoc-0007-0002	mastlik	опьянение	intoxication
emdoc-0007-0003	sog‘liq holatiga ko‘ra taqiqlangan ishni bajarish	выполнение работы, провопоказанной по состоянию здоровья 	performing work contraindicated due to health condition
emdoc-0007-0004	mehnatga layoqatsizlik davrida o‘zboshimchalik bilan boshqa joyga chiqib ketish	самовольный выезд в другую местность в период нетрудоспособности	unauthorized departure to another location during incapacity for work
emdoc-0007-0005	boshqa qoidabuzarliklar	другие нарушения	other violations
