CODE	UZB	RUS	ENG
AMB	ambulator	амбулаторный	ambulatory
IMP	statsionar	стационарный	inpatient
emdoc-0006-0001	sanatoriy	санаторный	sanatorium
emdoc-0006-0002	boshqa	другой	other
