CODE	UZB	RUS	ENG
emdoc-0009-0001		Городская принадлежность	
emdoc-0009-0002		Место проишествия	
emdoc-0009-0003		Выдача ЛН пациенту из другого города	
emdoc-0009-0004		Информация о контакте с больным инфекционным заболеванием	
emdoc-0009-0005		Степень родства	
emdoc-0009-0006		Режим	
emdoc-0009-0007		Данные о нарушении режима	
emdoc-0009-0008		Временно перевестись на другую работу	
emdoc-0009-0009		Заключения	
emdoc-0009-0010		Дата проверки	
