CODE	UZB	RUS	ENG
mserv-0005-00001	Mehnatga layoqatsizlik varaqasi	Лист нетрудоспособности	Sick Leave Certificate
mserv-0005-00002	Kasallangan bolaga qarash uchun mehnatga layoqatsizlik varaqasi	Справка о нетрудоспособности по уходу за больным ребенком	Sick Leave Certificate for Caring for a Sick Child
mserv-0005-00003	Ta’lim olayotgan shaxslar uchun mehnatga layoqatsizlik varaqasi	Справка о нетрудоспособности для лиц, получающих образование	Sick Leave Certificate for Persons Receiving Education
mserv-0005-00004	Alkogol mastligi sababli mehnatga layoqatsizlik varaqasi	Справка о нетрудоспособности по состоянию алкогольного опьянения	Sick Leave Certificate Due to Alcohol Intoxication
